created_at,username,full_text,tweet_id,query
2014-01-18 11:55:55+00:00,iamjoelee,Kerajaan jangan politikkan kaum/agama boleh? RT @tm_insider: Pembangkang jangan politikkan isu kenaikan harga barang:http://t.co/Qq2KQJ0vA5,424510461250240512,kenaikan harga lang:id
2014-01-18 10:59:19+00:00,bharianmy,Usah politikkan isu kenaikan harga barang - Shafie http://t.co/VcYJDKcgvF,424496217817899008,kenaikan harga lang:id
2014-01-18 10:30:47+00:00,tm_insider,Pembangkang jangan politikkan isu kenaikan harga barang: Pihak pembangkang diminta supaya tidak terus mempolit... http://t.co/1ROGiGvnBA,424489034396626944,kenaikan harga lang:id
2014-01-18 09:11:32+00:00,bharianmy,"UMNO Putrajaya mahu KPDNKK siasat kenaikan harga  
http://t.co/8GDcIJawzE",424469092951924736,kenaikan harga lang:id
2014-01-18 07:22:20+00:00,umnoonline,Kerajaan Serius Tangani Kenaikan Harga Barang – Muhyiddin http://t.co/H5PvMGRXS8 #UMNO #Malaysia,424441612328919040,kenaikan harga lang:id
2014-01-18 06:16:22+00:00,bharianmy,Kenaikan harga barang berpunca daripada orang tengah: Tengku Adnan http://t.co/vIetjEzIpc,424425008673587200,kenaikan harga lang:id
2014-01-18 04:19:00+00:00,Bernama_Radio,Pemantauan harga barangan oleh kerajaan bukan gimik dan akan dibuat secara berterusan tangani kenaikan kos sara hidup rakyat -- TPM,424395471994368001,kenaikan harga lang:id
2014-01-18 04:06:12+00:00,bernamadotcom,"Pemantauan harga barangan oleh kerajaan bukan gimik, akan dibuat berterusan  tangani kenaikan kos sara hidup rakyat - TPM Muhyiddin",424392253772017664,kenaikan harga lang:id
2014-01-17 11:17:13+00:00,BuletinTV3,Isu kenaikan harga barang. Jangan salahkan kerajaan semata-mata. Rakyat harus juga melihat peranan swasta dalam... http://t.co/mTDI7cAk0v,424138332436987904,kenaikan harga lang:id
2014-01-17 08:56:56+00:00,MalaysiaGazette,Kementerian Kewangan tangani kenaikan harga barangan | Malaysia Gazette - http://t.co/WXhNmr3W5l via @MalaysiaGazette,424103028707192832,kenaikan harga lang:id
2014-01-17 05:52:44+00:00,tm_insider,"Khairy buat pusingan U, bodek sokong kenaikan harga barang, kata PAS: Kenyataan Ketua Pemuda Umno Khairy Jamal... http://t.co/1DFpLX4nSD",424056675146805248,kenaikan harga lang:id
2014-01-17 02:21:57+00:00,SinarOnline,Seminar jelas isu kenaikan harga barang #SHNasional http://t.co/Tvo0k8S4VT,424003629566418944,kenaikan harga lang:id
2014-01-17 01:29:11+00:00,Bernama_Radio,PRESMA setuju tangguhkan cadangan kenaikan harga makanan dan minuman yang dijual di restoran-restoran  milik anggota persatuan itu.,423990351624273920,kenaikan harga lang:id
2014-01-16 23:00:55+00:00,Bernama_Radio,"Pegawai pendidikan daerah, pengetua &amp; guru besar diminta pantau harga makanan &amp; minuman di kantin bg memastikan tiada kenaikan harga",423953038361899008,kenaikan harga lang:id
2014-01-16 21:44:13+00:00,antaranews,Harga emas berjangka cetak kenaikan pertama dalam tiga sesi http://t.co/YseLpMc6x3,423933734119690241,kenaikan harga lang:id
2014-01-16 13:35:03+00:00,merdekadotcom,"Kerap terjadi kenaikan harga, bukti SBY gagal atasi kemiskinan http://t.co/lXGNz83Aiu #Riil",423810633780326400,kenaikan harga lang:id
2014-01-16 12:18:41+00:00,bernamadotcom,Persatuan Pengusaha Restoran Muslim Malaysia setuju tangguh cadangan kenaikan harga makanan dan minuman http://t.co/qruz2ax8Zu,423791414514696192,kenaikan harga lang:id
2014-01-16 11:20:09+00:00,kosmo_online,KUALA LUMPUR - #Presma setuju tangguh kenaikan harga makanan dan minuman. http://t.co/auSfK2zFsJ,423776684643323904,kenaikan harga lang:id
2014-01-16 11:20:02+00:00,liputan6dotcom,Kenaikan Harga Elpiji 12 Kg Tak Berpengaruh Besar ke Inflasi http://t.co/g7LWjZMT0r,423776655358713856,kenaikan harga lang:id
2014-01-16 10:03:19+00:00,pikiran_rakyat,[Ekonomi] Harga Sayuran di Subang Mengalami Kenaikan http://t.co/8nzUvLcKmY,423757347748466688,kenaikan harga lang:id
2014-01-16 10:01:12+00:00,niknazmi,baru melawat pasar @Khairykj jd pakar kenaikan harga. Mcm org makan #kangkung jd pakar kangkung?,423756814816014336,kenaikan harga lang:id
2014-01-16 09:08:20+00:00,umnoonline,Skuad Pengguna Pemuda Ditubuh Bagi Pantau Kenaikan Harga Barangan http://t.co/7zmLNZkgzx #UMNO #Malaysia,423743512203390976,kenaikan harga lang:id
2014-01-16 09:05:09+00:00,BookClubIndo,"@atiknoe mohon maaf sebelumnya, beberapa penerbit memang ada kenaikan harga, mohon info nomor ordernya yah agar bisa mimin bantu cek?",423742709208064000,kenaikan harga lang:id
